NGC3351            10 43 57.7 +11 42 13 21.39 49 162 0.26 -19.8 23.2 10.66 10.81   8.94  623  1.1 NGC3368          1.2  1.82
LeG11              10 44 02.1 +15 35 20  1.08 29     0.00 -11.4 25.1  6.82       < 7.25       0.3 NGC3368          0.9  2.13
LeG12              10 44 07.8 +11 31 59  0.67 41     0.00 -11.7 23.7  6.94       < 7.41       2.5 NGC3368          2.5  2.13
AGC205445          10 44 35.3 +13 56 23  1.87 37     0.00 -13.8 23.8  8.48               490  1.1 NGC3368          1.4  2.13
LeG13              10 44 57.6 +11 54 58  1.25 81   3 0.00 -12.8 24.0  7.35  5.97   6.75  718  3.1 NGC3368          3.1  2.22
LeG14              10 46 14.4 +12 57 36  1.13 34     0.00 -11.5 25.1  7.55       < 7.06       1.9 NGC3368          2.1  2.22
KK93               10 46 24.8 +14 01 30  1.80 24     0.00 -12.2 25.4  7.84       < 7.09       1.3 NGC3412          1.6  2.13
LeG16              10 46 30.0 +11 45 21  0.90 13     0.00 -11.2 24.9  7.43                    4.5 NGC3368          4.5  2.22
LeG17              10 46 41.5 +12 19 35  1.76 44  20 0.00 -13.2 24.3  8.23  7.89   7.50  880  2.9 NGC3368          3.0  2.22
NGC3368            10 46 45.8 +11 49 11 27.25 49 210 0.31 -20.4 23.1 10.83 11.14   9.18  740  1.1 LeG16            1.5  2.11
LeG18              10 46 53.3 +12 44 40  0.86 47  19 0.00 -11.3 24.7  6.77  7.58   7.15  488  3.2 LeG19            3.3  2.22
LeG19              10 46 54.8 +12 47 17  1.13 52     0.00 -12.4 24.2  7.91                    2.1 NGC3368          2.5  2.22
KK94               10 46 57.3 +12 59 54  1.78 35  21 0.00 -12.7 24.9  7.34  7.97   7.69  684  2.3 LeG21            2.5  2.22
LeG21              10 47 00.8 +12 57 35  0.77 47   3 0.00 -11.6 24.1  6.90  6.03   7.09  696  2.8 KK94             2.9  2.22
DDO088             10 47 22.3 +14 04 13  4.95 20  50 0.01 -15.2 24.6  8.33  9.15   7.87  431 -1.0 NGC3623         -0.5  0.27
ESO318-013         10 47 41.9 -38 51 15  3.34 90  22 0.00 -14.4 24.5  8.12  8.29   8.01  413 -0.6 NGC3621         -0.5 -1.41
NGC3377            10 47 42.4 +13 59 08 16.95 68     0.00 -19.1 23.4 10.42               536  1.4 NGC3379          1.5  2.18
NGC3379            10 47 49.6 +12 34 54 17.86 33     0.00 -20.1 22.5 10.90               774  1.5 NGC3384          1.6  1.98
NGC3384            10 48 16.9 +12 37 45 18.09 80     0.00 -19.6 23.1 10.73               556  1.7 NGC3379          1.7  2.11
UGC05923           10 49 07.6 +06 55 02  8.13 63  69 0.21 -17.7 23.2  9.44  9.65   8.57  534 -2.6 NGC4321         -1.9
Willman1           10 49 21.0 +51 03 00  0.04 74     0.00  -1.9 27.4  3.72       < 2.96   41  3.7 Milky Way        3.7  1.74
DDO087             10 49 36.5 +65 31 50  3.46 29  59 0.02 -14.3 24.7  8.31  9.15   8.24  468 -1.0 NGC2787         -0.7
LeG22              10 49 37.1 +11 21 06  1.72 56     0.00 -12.2 25.3  7.14                    2.3 NGC3368          2.3  2.13
LeG23              10 50 09.1 +13 29 01  0.55 20     0.00 -11.1 23.9  6.70                    3.7 NGC3412          3.7  2.22
UGC05944           10 50 19.1 +13 16 19  3.71 16     0.00 -14.8 24.4  8.60               928  2.1 NGC3379          2.2  2.15
KK96               10 50 27.1 +12 21 39  1.87 45     0.00 -11.9 25.8  7.71                    2.0 NGC3368          2.2  2.22
NGC3412            10 50 53.3 +13 24 44 12.09 66     0.00 -18.8 23.0 10.28       < 7.81  702  1.3 NGC3368          1.4  2.19
NGC3413            10 51 20.7 +32 45 59  7.72 60  71 0.19 -17.5 23.3  9.34  9.66   8.83  589 -1.6 NGC3184         -1.0
LeG26              10 51 21.1 +12 50 57  2.14 31     0.00 -13.3 24.7  8.27       < 7.41  483  2.3 NGC3412          2.4  2.22
AGC205540          10 51 31.4 +14 06 53  0.97 60     0.00 -12.2 24.0  7.14       < 7.53  691  2.0 NGC3412          2.0  2.13
KKH65              10 51 59.1 +28 21 45  1.70 35     0.00 -12.7 24.8  8.02                   -1.4 NGC3627         -0.8 -0.78
AGC205544          10 52 04.8 +15 01 50  1.37 41     0.00 -13.1 23.9  8.18       < 7.41  692  0.9 NGC3412          1.2  2.13
LV J1052+3628      10 52 05.5 +36 28 36  1.18 53     0.00 -12.0 24.7  7.04               451  3.4 NGC3432          3.4  0.42
UGC05983           10 52 17.5 +36 35 36  2.91 61     0.00 -13.9 24.8  7.80               741  4.9 NGC3432          4.9  0.41
AGC202456          10 52 19.5 +11 02 36  2.23 30     0.00 -14.0 24.1  8.55       < 7.41  669  1.5 NGC3368          1.6  2.13
LeG27              10 52 20.1 +14 42 26  1.13 57     0.00 -11.6 25.0  7.58                    1.2 NGC3412          1.5  2.13
NGC3432            10 52 31.1 +36 37 08 13.70 80 113 0.77 -19.0 23.0  9.64 10.31   9.52  587  3.1 UGC05983         3.3 -0.83
LV J1052+3639      10 52 40.8 +36 39 54  4.38 90     0.00 -14.1 25.4  7.88               487  4.7 NGC3432          4.7  0.41
KDG073             10 52 57.1 +69 32 45  1.29 38   4 0.00 -10.8 26.1  6.56  6.39   6.51  263  1.4 MESSIER081       1.6  1.88
LeG28              10 53 00.7 +10 22 45  2.04 72     0.00 -11.9 26.0  7.01                    1.1 NGC3368          1.3  2.13
UGC06014           10 53 42.7 +09 43 41  3.67 65  45 0.04 -15.3 23.9  8.36  8.94   7.80  972  0.8 NGC3368          1.0  2.13
LSBC D640-12       10 55 57.1 +12 20 20  1.34 72   3 0.00 -11.8 25.2  6.96  6.03   6.41  699  1.0 NGC3368          1.4  2.18
LSBC D640-13       10 56 14.0 +12 00 37  1.73 65  10 0.00 -13.3 24.2  7.56  7.27   7.63  840  1.0 NGC3368          1.3  2.18
HS1053+3624        10 56 40.4 +36 08 28  1.32 74     0.00 -12.1 24.8  7.11               546  1.2 VV747            1.5  0.42
ESO215-009         10 57 30.2 -48 10 44  3.67 62  32 0.00 -13.5 25.6  7.74  8.63   8.82  290 -1.2 NGC4945         -0.7
VV747              10 57 47.0 +36 15 39  2.92 66     0.00 -14.4 24.2  8.02               594  0.9 NGC3432          1.0  0.41
CGCG 095-078       10 58 02.2 +19 30 19  1.79 75   9 0.00 -13.9 23.7  7.79  7.23   7.03  538 -0.9 NGC3344         -0.5  0.77
LSBC D640-14       10 58 10.5 +11 59 57  1.45 59     0.00 -11.7 25.5  7.61                    0.8 NGC3368          1.1  2.32
AGC205278          10 58 52.1 +14 07 46  1.63 54  16 0.00 -12.9 24.5  7.40  7.68   6.95  548  0.6 NGC3412          1.0  2.32
NGC3489            11 00 18.6 +13 54 04 13.26 60  56 0.10 -19.5 22.5 10.53  9.69   7.36  556 -0.2 NGC3384          0.2  1.58
LeG33              11 00 45.2 +14 10 20  1.04 67     0.00 -11.6 24.8  6.88                    1.1 LSBC D640-08     1.3  2.40
LSBC D640-08       11 00 52.1 +13 52 51  2.46 75     0.00 -13.2 25.1  8.23                    0.4 NGC3412          0.9  2.40
CGCG 066-109       11 04 26.5 +11 45 18  3.05 90  18 0.00 -14.0 24.8  7.83  8.04   7.65  629  0.4 NGC3627          0.9  2.28
KKSG20             11 04 40.6 +00 03 30  1.68 41   5 0.00 -12.8 24.6  7.37  6.69   6.18  636  3.9 NGC3521          3.9  1.85
MRK0036            11 04 58.5 +29 08 22  1.59 58  19 0.00 -14.0 23.3  7.52  7.82   7.37  585 -1.4 NGC3344         -0.8 -0.49
UGC06145           11 05 35.0 -01 51 49  4.42 66  17 0.00 -13.9 25.6  7.83  8.20   7.97  546  1.5 NGC3521          1.5  1.84
NGC3521sat         11 05 40.7 +00 07 15  8.13 45     0.00 -14.2 26.7  8.62                    4.7 NGC3521          4.7  1.84
NGC3521            11 05 48.6 -00 02 09 34.92 66 228 0.66 -21.2 22.8 11.09 11.32   9.65  598  2.2 NGC3521sat       2.2 -0.36
KKSG22             11 06 07.7 -01 26 55  1.61 41     0.00 -12.2 25.2  7.11       < 7.11       1.9 NGC3521          1.9  1.84
NGC3556            11 11 31.0 +55 40 26 13.86 80 144 0.87 -20.2 21.8 10.52 10.52   9.42  777 -1.3 UGC06446        -0.8 -0.27
DDO092             11 13 26.1 +53 35 42  3.98 44  26 0.00 -14.4 24.9  8.02  8.50   8.32  999  0.9 NGC3556          0.9  1.28
LeoII              11 13 29.2 +22 09 17  0.75 36     0.00  -9.1 26.6  6.58       < 4.02   -8  1.6 Milky Way        1.7  1.74
NGC3593            11 14 35.9 +12 49 07 18.20 73 120 0.45 -18.9 23.8 10.43 10.48   8.33  492  0.8 NGC3627          0.9  2.00
AGC202256          11 14 45.0 +12 38 51  1.27 61  19 0.00 -13.6 23.2  7.69  7.72   7.25  490  1.5 NGC3593          1.6  1.86
IC2684             11 17 01.0 +13 05 59  2.47 47   5 0.00 -14.0 24.2  7.87  6.78   7.16  451  2.6 NGC3627          2.6  2.07
NGC3621            11 18 16.1 -32 48 42 25.02 65 136 0.49 -19.8 23.5 10.35 10.73   9.63  440 -1.7 NGC4594         -1.1 -1.57
AGC215354          11 19 15.9 +14 17 25  1.52 62     0.00 -12.8 24.4  7.37       < 7.41  659  1.7 NGC3627          1.8  2.07
NGC3627            11 20 15.0 +12 59 29 30.58 66 189 0.59 -21.1 22.6 11.01 11.10   9.01  579  1.1 NGC3628          1.3  1.99
AGC213436          11 22 24.0 +12 58 46  1.61 13     0.00 -13.5 23.9  8.34               491  3.1 NGC3627          3.1  2.07
KKH67              11 23 03.5 +21 19 37  2.10 42     0.00 -11.7 26.2  7.63                   -0.5 NGC3628          0.1  0.36
IC2787             11 23 19.1 +13 37 47  3.29 24  50 0.01 -14.5 24.4  8.05  8.98   7.27  576  2.3 NGC3627          2.3  2.07
IC2791             11 23 37.6 +12 53 45  1.74 54   3 0.00 -13.3 24.2  7.56  6.29   6.70  530  2.5 NGC3627          2.5  2.06
UGC06456           11 28 00.6 +78 59 29  1.89 69  15 0.00 -14.1 23.6  7.60  7.68   7.77   99 -0.1 MESSIER081       0.1  0.76
KDG078             11 29 54.0 +52 24 14  1.94 51   7 0.00 -13.1 24.6  7.51  6.99   6.74  644 -0.7 NGC4258         -0.3 -1.70
LeoV               11 31 09.6 +02 13 12  0.21 90     0.00  -3.8 29.2  4.46       < 2.88   -7  1.8 Milky Way        1.9  1.74
HIPASS J1131-31    11 31 35.2 -31 40 20  2.04 62  10 0.00 -12.4 25.4  7.22  7.36   7.33  432  0.7 NGC3621          0.7  1.10
LeoIV              11 32 57.0 -00 32 00  0.34 48     0.00  -4.2 29.8  4.63       < 2.78  -58  2.0 Milky Way        2.0  1.74
HIPASS J1133-32    11 33 11.0 -32 57 43  1.05 72  26 0.00 -13.1 23.3  7.50  7.93   7.00  424  0.7 NGC3621          0.7  1.10
UGC06541           11 33 29.1 +49 14 17  1.96 65   5 0.00 -13.6 24.2  7.75  6.69   6.97  303 -0.6 MESSIER081      -0.2  0.44
NGC3738            11 35 48.6 +54 31 22  4.82 49  45 0.02 -16.7 23.1  8.85  9.06   8.00  306 -0.8 MESSIER081      -0.4 -0.84
NGC3741            11 36 06.4 +45 17 07  1.30 67  40 0.00 -13.1 23.8  7.38  8.37   7.88  263 -0.7 MESSIER081      -0.4 -0.12
ESO320-014         11 37 53.4 -39 13 14  2.74 58  18 0.00 -13.7 24.8  7.74  8.03   7.33  362 -0.7 NGC3621         -0.5 -1.75
UGC06757           11 46 59.1 +61 20 06  0.88 67     0.00 -11.0 25.0  6.66               199 -0.3 MESSIER081       0.0 -0.99
KK109              11 47 11.2 +43 40 19  0.59 55   3 0.00 -10.3 24.9  6.35  5.81   6.54  240 -0.3 NGC4736          0.0  1.45
DDO097             11 48 57.2 +23 50 16  6.48 27  82 0.03 -15.7 24.7  8.53  9.70   8.42  450 -1.3 NGC4251         -0.7
KKH73              11 50 06.4 +55 47 00  1.82 22   7 0.00 -12.5 25.1  7.26  6.97   6.98  685 -0.5 NGC3556         -0.1  0.35
DDO099             11 50 53.0 +38 52 50  3.23 90  11 0.00 -13.5 25.3  7.42  7.69   7.74  257 -0.8 NGC4214         -0.4 -0.14
ESO379-007         11 54 43.0 -33 33 29  1.50 49  10 0.00 -12.3 24.9  7.32  7.23   7.51  367 -1.0 NGC5236         -0.5 -1.69
UGC06881           11 54 44.7 +20 03 20  7.70 90  39 0.00 -15.3 25.4  8.38  9.14   8.27  513 -0.3 NGC4032         -0.1  0.32
MCG +05-28-046     11 55 23.5 +28 20 24  2.58 81     0.00 -13.1 25.2  7.50               544 -0.9 NGC4631         -0.5  0.17
KDG082             11 55 39.4 +31 31 10  9.22 51  56 0.08 -16.4 24.7  8.92  9.53   8.08  560 -1.1 NGC4565         -0.6 -1.06
NGC3990            11 57 35.6 +55 27 31  5.02 65     0.00 -16.7 23.1  9.52               788 -0.7 NGC3556         -0.4 -0.14
LV J1157+5638      11 57 54.2 +56 38 17  0.99 40     0.00 -12.2 24.1  7.14               514 -0.6 NGC4258         -0.3 -1.87
LV J1158+1535      11 58 40.4 +15 35 34  0.61 38     0.00 -11.0 24.2  6.66       < 6.97  458 -1.6 NGC4826         -1.0
BTS76              11 58 44.1 +27 35 06  0.98 62     0.00 -12.3 23.9  7.18               407 -1.1 NGC4736         -0.6 -1.86
ESO572-034         11 58 58.1 -19 01 48  3.29 71  31 0.00 -15.6 23.4  8.58  8.56   8.12  871 -0.6 NGC4594         -0.5
KUG 1157+315       12 00 16.2 +31 13 30  5.55 62  57 0.13 -17.0 23.0  8.90  9.33   8.48  588 -2.1 NGC4321         -1.6
LV J1203+4739      12 03 00.0 +47 39 15  2.02 78     0.00 -12.3 25.6  7.15               547  0.9 NGC4258          0.9  1.72
LV J1203+3257      12 03 10.9 +32 57 22  2.09 69     0.00 -12.8 25.1  7.46               551 -0.6 NGC4631         -0.2  0.17
NGC4068            12 04 02.4 +52 35 19  3.67 69  24 0.00 -15.1 24.1  8.28  8.41   8.06  290 -0.5 NGC4736         -0.1  0.50
NGC4080            12 04 51.8 +26 59 33  6.85 65  71 0.23 -17.5 23.0  9.36  9.60   8.24  517 -0.5 NGC4251         -0.1  0.60
ESO379-024         12 04 56.7 -35 44 35  1.12 47  20 0.00 -12.2 24.4  7.13  7.71   7.28  356 -0.7 NGC5128         -0.3 -1.13
IC2992             12 05 15.9 +30 51 20  3.11 38  30 0.00 -15.6 23.2  8.55  8.52   7.73  570  0.1 NGC4274          0.3  1.48
KUG 1202+286       12 05 23.3 +28 21 56  1.73 56     0.00 -14.0 23.5  7.70               488  0.1 LV J1205+2813    0.2 -0.99
LV J1205+2813      12 05 34.2 +28 13 56  1.37 38     0.00 -12.5 24.5  7.37               492  0.5 KUG 1202+286     0.5 -0.87
MAPS1206+31        12 06 34.5 +31 20 33  1.56 22     0.00 -13.6 23.6  7.81               542 -0.4 LV J1207+3133    0.0  1.31
LV J1207+3133      12 07 50.0 +31 33 08  1.39 35     0.00 -11.9 25.1  7.12               538  0.2 MAPS1206+31      0.4  1.31
UGC07131           12 09 11.8 +30 54 24  7.71 75  53 0.18 -14.6 26.1  8.19  9.39   8.59  226 -0.7 NGC4565         -0.3  0.17
NGC4136            12 09 17.7 +29 55 39  9.27 24 100 0.04 -17.9 23.2  9.39 10.03   8.67  577 -0.6 NGC4631         -0.2  0.87
MCG +06-27-017     12 09 56.4 +36 26 07  1.31 90     0.00 -13.0 23.9  7.88               341  0.0 NGC4736          0.3  1.50
NGC4144            12 09 59.3 +46 27 26 12.37 82  67 0.41 -17.7 24.1  9.29  9.82   8.76  317  0.6 NGC4258          0.7  1.71
IC3023             12 10 01.7 +14 22 01  2.51 51  23 0.00 -14.2 24.1  7.95  8.17   7.57  710 -1.3 NGC3623         -0.8  0.00
NGC4150            12 10 33.6 +30 24 06  8.77 53     0.00 -18.3 22.8 10.00               197  0.0 NGC4314          0.3  1.67
NGC4163            12 12 08.9 +36 10 10  1.89 37  17 0.00 -13.8 23.9  7.90  7.81   7.16  163  2.3 NGC4214          2.3 -0.14
KK127              12 13 22.7 +29 55 18  6.80 70  29 0.00 -15.7 24.8  8.19  8.83   8.34  101 -0.6 NGC4565         -0.2  0.37
NGC4190            12 13 44.6 +36 38 00  1.79 32  39 0.00 -13.9 23.7  7.90  8.49   7.46  239  0.8 NGC4214          0.9 -0.14
LV J1213+2957      12 13 48.4 +29 57 32  0.37 51     0.00  -9.8 24.3  6.18               196 -0.8 NGC4214         -0.5 -0.12
ESO321-014         12 13 49.6 -38 13 53  1.38 83   3 0.00 -12.7 24.3  7.25  6.01   7.21  333 -0.1 NGC5128          0.2  0.42
UGC07242           12 14 07.4 +66 05 32  1.91 87  29 0.00 -14.2 23.6  7.91  8.26   7.68  211 -0.4 NGC4605         -0.2  0.45
VCC0114            12 14 35.2 +05 40 38  1.42 70  12 0.00 -13.5 23.6  7.64  7.39   7.53 1923 -1.1 NGC4594         -0.6 -0.73
KDG090             12 14 57.9 +36 13 08  1.31 33     0.00 -11.5 25.4  6.86       < 5.56       1.3 NGC4214          1.5 -0.12
UGC7257            12 15 03.0 +35 57 31  3.44 52  49 0.05 -15.5 23.5  8.30  8.98   8.32  957 -0.8 NGC4414         -0.3 -0.72
NGC4204            12 15 14.4 +20 39 31 10.65 36  64 0.05 -16.8 24.6  9.12  9.71   8.57  787 -1.1 NGC4559         -0.6 -0.22
UGC07267           12 15 23.6 +51 21 00  7.67 73  53 0.17 -16.0 24.7  8.77  9.40   8.58  551  0.5 NGC4102          0.6  1.24
UGC07271           12 15 33.4 +43 26 03 12.59 72  48 0.10 -16.6 25.2  8.59  9.53   8.69  585 -1.9 NGC3953         -1.3
NGC4214            12 15 38.9 +36 19 39  7.34 39  41 0.01 -17.2 23.4  9.00  9.16   8.48  295  1.2 NGC4163          1.2 -0.67
MCG +09-20-131     12 15 46.7 +52 23 15  1.36 90   6 0.00 -13.1 23.9  7.50  6.69   7.37  242 -0.4 NGC4736         -0.1  0.57
VCC0169            12 15 56.2 +09 38 57  2.33 54   3 0.00 -13.3 24.9  7.56  6.42   8.04 2094 -0.3 PGC039264        0.2  1.32
IC3077             12 15 56.3 +14 25 59  4.77 58  25 0.00 -14.9 24.8  8.16  8.54   6.97 1303 -0.3 NGC4435         -0.1  1.13
UGC07298           12 16 28.6 +52 13 38  1.04 67   3 0.00 -12.3 24.1  7.25  5.95   7.28  256 -0.4 NGC4068          0.1  0.53
NGC4236            12 16 43.3 +69 27 56 27.39 73  70 0.32 -18.6 24.9  9.62 10.20   9.15  157 -0.3 MESSIER081      -0.1  0.18
LV J1217+4703      12 17 10.1 +47 03 49  0.69 46     0.00 -11.0 24.5  6.66       < 6.44       3.6 NGC4258          3.6  1.72
UGC07320           12 17 28.5 +44 48 41  3.15 81  24 0.00 -14.5 24.3  8.04  8.31   7.54  587 -0.4 NGC4460          0.1  0.51
NGC4244            12 17 29.9 +37 48 27 23.76 90  74 0.68 -18.2 25.0  9.55 10.18   9.23  259  0.3 NGC4736          0.5  1.44
NGC4242            12 17 30.2 +45 37 10 12.63 41  71 0.08 -18.0 23.8  9.47  9.87   8.70  568  1.8 NGC4258          1.8  1.74
LV J1217+3231      12 17 32.0 +32 31 57  1.13 60     0.00 -10.7 25.9  6.54               433 -1.0 NGC4736         -0.4  0.85
UGC7321            12 17 34.0 +22 32 25 31.02 90  98 1.23 -18.4 25.3  9.56 10.54   9.33  339 -0.4 NGC4565          0.0
KKH78              12 17 44.5 +33 20 43  0.61 59     0.00 -10.7 24.5  6.54                    0.8 NGC4395          0.9  1.50
NGC4248            12 17 49.9 +47 24 33  7.01 66  31 0.00 -16.3 24.3  8.82  8.90   7.79  544  1.1 NGC4258          1.1  1.72
LV J1218+4655      12 18 11.1 +46 55 01  1.68 76     0.00 -12.3 25.1  7.28               477 -0.4 NGC4258         -0.1  0.83
AGC229053          12 18 15.5 +25 34 06  2.54 75  16 0.00 -13.5 24.9  7.65  7.87   7.76  376  0.1 NGC4494          0.3  1.76
KDG098             12 18 29.4 +28 38 45  2.02 24     0.00 -13.4 24.5  8.30                   -0.3 NGC4414         -0.1  1.27
IC3104             12 18 46.1 -79 43 34  3.44 76  16 0.00 -14.8 24.2  8.38  8.00   6.90  170 -1.2 NGC5128         -0.6 -2.23
NGC4258            12 18 57.5 +47 18 14 41.49 71 209 0.76 -21.2 23.2 10.94 11.33   9.64  506  1.1 KK134            1.3  0.60
KK132              12 19 06.5 +47 43 51  0.83 37     0.00 -11.0 24.9  7.36                    3.5 NGC4258          3.5  1.72
KDG101             12 19 09.1 +47 05 23  2.70 63     0.00 -13.6 24.8  7.70               190  0.7 NGC4258          1.0  1.72
KK133              12 19 32.8 +43 23 11  1.12 54  26 0.00 -11.9 24.6  7.03  7.95   6.88  601  0.5 NGC4258          0.6  1.74
KK134              12 19 33.8 +47 27 06  0.86 24     0.00 -12.5 23.5  7.96                    4.1 NGC4258          4.1  1.72
d1219+4705         12 19 36.8 +47 05 33  0.67 22     0.00 -11.0 24.5  7.34                    4.0 NGC4258          4.0  1.75
IC 779             12 19 38.7 +29 53 00  6.47 34     0.00 -16.0 24.4  9.04               187 -0.2 NGC4565          0.1  0.35
VCC0381            12 19 54.1 +06 39 57  1.06 26   6 0.00 -11.7 24.7  6.93  6.62   7.14  344 -0.9 NGC4826         -0.7 -1.24
[KKH2011]S11       12 20 30.1 +47 29 25  0.65 31     0.00  -9.0 26.3  6.57                    3.7 NGC4258          3.8  1.72
NGC4288            12 20 38.1 +46 17 30  5.49 45  94 0.14 -16.4 23.6  8.61  9.75   8.61  588  1.7 NGC4258          1.8  1.75
KK136              12 20 40.6 +47 00 03  1.08 36     0.00 -12.0 24.4  7.77                    3.5 NGC4258          3.5  1.75
CVnHI              12 20 43.4 +46 12 33                                            6.44  475 -0.4 NGC4258         -0.1  0.83
KUG 1218+387       12 20 54.9 +38 25 49  2.76 51  11 0.00 -14.2 24.3  7.93  7.58   7.73  587 -0.3 NGC4258          0.0  0.55
d1220+4649         12 20 55.0 +46 49 45  0.58 41     0.00 -10.1 25.0  7.01                    3.2 NGC4258          3.2  1.75
DDO120             12 21 15.0 +45 48 41  4.89 60  16 0.00 -15.8 24.0  8.70  8.15   8.01  516  0.3 NGC4258          0.5  1.72
KDG104             12 21 27.9 +15 01 28  2.25 55   3 0.00 -13.1 25.0  7.50  6.39   7.06 1764  0.3 NGC4435          0.3  1.16
KDG105             12 21 43.0 +37 59 14  1.83 63  17 0.00 -12.8 24.8  7.37  7.78   7.35  582 -0.3 NGC4258          0.1  1.35
UGC7427            12 21 55.0 +35 03 05  3.00 61  12 0.00 -14.1 24.6  7.89  7.67   7.76  727  0.1 NGC4414          0.2  1.29
NGC4308            12 21 56.9 +30 04 27  3.53 20     0.00 -16.7 22.3  9.36               617  0.2 NGC4251          0.6  1.72
KK138              12 21 58.4 +28 14 34  0.76 64     0.00 -10.4 25.3  6.41       < 6.25      -0.8 NGC4631         -0.5 -1.11
GR34               12 22 07.6 +15 47 57  2.45 39   5 0.00 -13.9 24.4  7.81  6.87   6.93 1205 -0.5 NGC4435         -0.3  1.13
VCC0565            12 22 38.5 +06 00 52  1.61 62   8 0.00 -14.2 23.2  7.91  7.07   7.06  734 -0.3 PGC039878        0.2  1.38
KK141              12 22 52.7 +33 49 43  0.90 45   8 0.00 -12.9 23.2  7.41  6.78   7.20  568  0.0 NGC4631          0.2  1.44
IC3247             12 23 14.0 +28 53 38 15.84 86  69 0.48 -17.3 25.1  9.26  9.94   8.52  539 -2.1 NGC4321         -1.6
BTS132             12 23 46.2 +47 39 32  0.89 60     0.00 -11.1 24.9  7.41                    2.7 NGC4258          2.7  1.75
IC3308             12 25 17.9 +26 42 53  5.58 77  56 0.23 -15.5 24.6  8.53  9.31   8.57  277  0.1 NGC4274          0.3  1.75
KK144              12 25 27.9 +28 28 57  1.98 81  14 0.00 -12.5 25.3  7.27  7.65   7.86  449 -0.9 NGC4631         -0.5  0.35
UGC07512           12 25 41.3 +02 09 32  4.42 70  30 0.00 -15.0 24.5  8.25  8.66   8.26 1354  0.4 NGC4457          0.7  1.81
AGC749236          12 25 42.4 +26 48 36  3.48 71  24 0.00 -14.3 24.8  7.95  8.35   8.30  235 -0.8 NGC4494         -0.5
VCC0841            12 25 47.0 +14 57 07  2.51 74  15 0.00 -14.1 24.2  7.90  7.84   7.01  404 -1.4 NGC4435         -0.8  0.02
NGC4395            12 25 49.8 +33 32 46 17.83 34  76 0.06 -17.8 24.8  9.44 10.08   9.05  308  0.1 NGC4736          0.3  1.48
DDO123             12 26 08.1 +58 19 21  8.50 38  40 0.00 -15.7 25.3  8.62  9.19   8.88  836 -1.3 NGC3990         -0.7  0.27
UGCA281            12 26 16.0 +48 29 31  1.73 47  26 0.00 -13.7 23.8  7.82  8.15   7.76  347 -0.6 NGC4490         -0.2  0.69
IC3341             12 26 23.4 +27 44 44  2.74 66  31 0.00 -14.4 24.1  8.02  8.48   7.92  338  0.3 NGC4251          0.5  1.68
SBS 1224+533       12 26 52.6 +53 06 19  1.25 53     0.00 -12.6 24.2  7.30               390 -0.7 NGC4736         -0.3  0.52
ComaI              12 26 59.0 +23 54 15  0.12 66     0.00  -3.2 28.4  4.24       < 1.63   46  3.7 Milky Way        3.7  1.74
DDO126             12 27 05.1 +37 08 33  4.07 59  24 0.00 -14.4 25.0  8.08  8.43   8.02  230  0.4 NGC4736          0.6  1.50
DDO125             12 27 41.8 +43 29 38  3.09 66   7 0.00 -14.3 24.4  8.10  7.25   7.48  251 -0.8 NGC4214         -0.4 -0.10
UGC07584           12 28 02.9 +22 35 22  2.43 72  13 0.00 -13.7 24.5  7.74  7.65   7.78  545 -1.0 NGC4414         -0.5 -0.22
KKH80              12 28 05.4 +22 17 27  1.85 53   3 0.00 -12.7 25.0  7.31  6.33   7.08  542 -0.9 NGC4631         -0.5  0.09
NGC4449            12 28 11.2 +44 05 40  8.30 45  60 0.07 -18.3 22.6  9.66  9.54   8.64  249  0.3 NGC4736          0.4  1.44
DDO127             12 28 28.5 +37 14 00  3.21 72  24 0.00 -14.3 24.6  7.96  8.33   8.00  290 -0.3 NGC4631          0.0  1.29
UGC07596           12 28 33.9 +08 38 23  2.09 83   6 0.00 -13.5 24.4  7.65  6.95   6.26  443 -0.7 NGC4826         -0.6 -1.43
UGC07605           12 28 39.0 +35 43 05  1.91 49   6 0.00 -13.5 24.2  7.65  6.92   7.32  317  0.4 NGC4244          0.8  1.47
NGC4455            12 28 44.1 +22 49 21  7.67 76  48 0.13 -16.9 23.8  8.95  9.32   8.62  588 -0.6 NGC4559         -0.4  0.90
DDO129             12 28 44.2 +43 13 27  7.37 27  37 0.00 -16.2 24.5  8.81  9.08   8.59  582 -0.3 NGC4258          0.2  0.51
LV J1228+4358      12 28 44.9 +43 58 18  4.56 90     0.00 -13.9 25.7  7.83                    1.3 NGC4449          1.3  1.47
NGC4460            12 28 45.8 +44 51 52 11.54 90  39 0.00 -17.7 23.9  9.66  9.31   8.08  551 -0.6 NGC5055         -0.1 -0.04
KK149              12 28 52.3 +42 10 40  2.43 59  26 0.00 -14.9 23.4  8.19  8.29   7.77  445  0.2 DDO129           0.4  0.52
UGC07639           12 29 53.0 +47 31 48  4.38 68  16 0.00 -15.2 24.3  8.33  8.11   7.62  450  0.4 NGC4258          0.5  1.72
UGC07636           12 30 01.0 +07 55 46  1.36 40   5 0.00 -13.8 23.2  7.76  6.63   6.17  344 -1.0 NGC4826         -0.8 -1.53
KK151              12 30 23.8 +42 54 05  2.10 87  12 0.00 -13.4 24.6  7.60  7.51   7.30  479 -0.5 NGC4258         -0.1  0.85
