Name     | GLON   | GLAT  | Dist | RV    | e_RV  |n_RV|n_tot| rad_l   | rad_b | P |Nsg
CLUST  3 | 313.22 | -0.02 | 1.51 | -43.1 |  11.8 |  4 |   5 |    23.7 |  15.8 | 0 |  0
NGC 5606 | 314.88 |  0.98 | 2.90 |       |       |  0 |   5 |     5.1 |   5.1 | 0 |  0
PIS 20   | 320.37 | -2.38 | 0.96 |       |       |  2 |   6 |    26.7 |  20.1 | 0 |  0
NOR 1    | 327.38 | -0.83 | 1.10 |       |       |  1 |   6 |    23.0 |  23.0 | 0 |  1
R 103  A | 331.89 | -0.93 | 3.22 |       |       |  0 |   9 |    39.3 |  16.8 | 1 |  0
R 103  B | 332.08 | -0.08 | 3.00 |       |       |  0 |   6 |    20.9 |  15.7 | 1 |  0
ARA 1A A | 336.33 | -1.43 | 1.59 |       |       |  2 |  26 |    47.0 |  30.4 | 1 |  1
ARA 1A B | 340.66 | -2.18 | 1.35 |       |       |  0 |   5 |     4.7 |  16.5 | 0 |  0
NGC 6204 | 338.27 | -1.15 | 1.94 |       |       |  1 |  29 |    44.1 |  61.0 | 1 |  2
SCO 1    | 343.74 |  1.36 | 1.92 | -22.4 |  11.4 | 24 |  78 |    77.0 |  56.9 | 1 |  0
NGC 6322 | 345.26 | -2.70 | 1.30 |       |       |  0 |   5 |     9.1 |  22.7 | 0 |  0
CLUST  4 | 349.91 |  3.04 | 1.01 |       |       |  2 |   8 |    31.9 |  17.7 | 1 |  0
SCO 4    | 352.39 |  2.90 | 1.23 |   0.1 |   3.3 |  3 |   8 |    25.7 |  30.0 | 1 |  0
CLUST  5 | 352.56 | -6.14 | 1.27 |       |       |  0 |   7 |    22.1 |  24.3 | 1 |  0
TR 27    | 355.15 |  0.22 | 1.31 |  -7.7 |  10.0 |  3 |  11 |    34.4 |  18.3 | 1 |  0
